sample,fastq_1,fastq_2,antibody,control
rb_cr116_s0_cd71_low_rep2,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135130_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135130_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr116_s0_cd71_low_rep2,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135131_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135131_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr116_s0_cd71_medium_rep1,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135132_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135132_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr116_s0_cd71_medium_rep1,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135133_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135133_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr116_s0_cd71_medium_rep1,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135134_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135134_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr116_s0_cd71_medium_rep1,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135135_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135135_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr116_s0_cd71_medium_rep2,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135136_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135136_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr116_s0_cd71_medium_rep2,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135137_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135137_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr116_s0_cd71_medium_rep2,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135138_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135138_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr116_s0_cd71_medium_rep2,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135139_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135139_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
